state,city,street,zip,lat,long
CO,Aurora,7470 John Tunnel Suite 937,80014,39.6662,-104.835
CO,Broomfield,853 Miller Bypass Suite 802,80021,39.8854,-105.1139
CO,Colorado Springs,20581 Pena Walks,80951,38.8881,-104.6556
CO,Dumont,172 Leonard Island,80436,39.7532,-105.6356
CO,Iliff,26678 Lisa Locks Apt. 904,80736,40.7692,-103.0968
CO,Kirk,0547 Russell Ford Suite 574,80824,39.6171,-102.4776
CO,Littleton,3379 Williams Common,80120,39.5994,-105.0044
CO,Meredith,4456 Dunn Roads,81642,39.3199,-106.6596
CO,Parker,3136 Silva Stream,80138,39.5102,-104.7216
CO,Pueblo,3683 Parrish Circles,81005,38.2352,-104.66
CO,Red Cliff,155 Gregory Mount Suite 791,81649,39.4584,-106.3851
CT,East Canaan,6033 Young Track Suite 804,6024,42.0158,-73.2913
CT,Higganum,6881 King Isle Suite 228,6441,41.4682,-72.5751
CT,Marion,6157 Nichols Mews,6444,41.7918,-72.7188
CT,Plymouth,94431 Matthew Mall Suite 296,6782,41.6611,-73.0449
CT,Preston,204 Ashley Neck Apt. 169,6365,41.5224,-71.9934
DC,Washington,20937 Reed Lakes Apt. 271,20012,38.9757,-77.0282
DC,Washington,2989 Murray Inlet,20017,38.9367,-76.994
DC,Washington,330 Montoya Ramp,20036,38.9087,-77.0414
DE,Georgetown,9612 Robert Light Apt. 340,19947,38.679,-75.3932
FL,Bonita Springs,08932 Bonnie Stravenue,34135,26.3771,-81.7334
FL,Brandon,034 Kimberly Mountains,33510,27.9551,-82.2966
FL,Cape Coral,329 Emily Cape,33909,26.6939,-81.9452
FL,Clearwater,0984 Amanda Corners Apt. 297,33762,27.8942,-82.6746
FL,Clearwater,6970 Blake Trail,33760,27.9004,-82.7152
FL,Deltona,5097 Jodi Vista Suite 811,32725,28.8989,-81.2473
FL,Fort Myers,87665 Karen Mill Apt. 586,33967,26.4722,-81.8122
FL,Grand Ridge,125 Kristen Dale,32442,30.7148,-85.021
FL,Haines City,97070 Anderson Land,33844,28.0758,-81.5929
FL,Hampton,03921 Cole Mission Suite 882,32044,29.8575,-82.1483
FL,Jay,358 Pruitt Square,32565,30.8985,-87.1332
FL,Key West,838 Franklin Prairie Apt. 902,33040,24.6557,-81.3824
FL,Lakeland,62931 Ralph Court,33813,27.9611,-81.9398
FL,Lakeland,670 Le Meadows Suite 250,33811,27.9865,-82.0139
FL,Lakeland,84033 Pitts Overpass,33809,28.1762,-81.9591
FL,Lanark Village,118 Cabrera Springs Apt. 105,32323,29.8826,-84.5964
FL,Loxahatchee,244 Abbott Parkway,33470,26.7383,-80.27600000000001
FL,Melbourne,7428 Martinez Flats,32935,28.1384,-80.6524
FL,Naples,0611 Stafford Valley Suite 504,34112,26.1184,-81.7361
FL,Naples,199 Patterson Fords Apt. 132,34112,26.1184,-81.7361
FL,Naples,7351 Cindy Well Suite 099,34120,26.3304,-81.5871
FL,Orange Park,8498 Lisa Stream,32065,30.1382,-81.7742
FL,Port Charlotte,95351 Sullivan Viaduct Apt. 239,33981,26.9379,-82.2388
FL,Port Richey,542 Howe Mission Apt. 092,34668,28.3011,-82.6927
FL,Port Saint Lucie,49120 Regina Island Apt. 170,34953,27.2625,-80.3793
FL,Saint James City,27203 Darrell Landing,33956,26.529,-82.0916
FL,Saint Petersburg,3337 Lisa Divide,33710,27.7898,-82.7243
FL,Sebring,2924 Bobby Trafficway,33872,27.4703,-81.4872
FL,Tampa,75703 Hernandez Corner Suite 348,33620,28.06,-82.4079
FL,Titusville,32941 Krystal Mill Apt. 552,32780,28.5697,-80.8191
FL,Umatilla,138 Stephen Ridges Apt. 978,32784,28.9254,-81.6801
FL,Vero Beach,94225 Smith Springs Apt. 617,32960,27.633000000000003,-80.4031
FL,Wauchula,9579 Porter Tunnel,33873,27.5517,-81.8074
FL,West Palm Beach,292 Lowe Dam Suite 858,33417,26.7197,-80.1248
FL,West Palm Beach,92213 Lee Well,33404,26.7832,-80.0638
GA,Allentown,96122 Steven Flat,31003,32.6064,-83.2095
GA,Alpharetta,9345 Spencer Junctions Suite 183,30009,34.077,-84.3033
GA,Avera,82201 Bradley Radial Suite 703,30803,33.141,-82.515
GA,Brinson,62130 Miller Square Suite 785,39825,30.9788,-84.7373
GA,Cuthbert,0953 David Skyway,39840,31.7706,-84.7936
GA,Darien,37732 Joe Courts Apt. 752,31305,31.3826,-81.4312
GA,Du Pont,995 Benjamin Bypass,31630,31.0,-82.8555
GA,Girard,380 Martin Mission,30426,33.0437,-81.7106
GA,Hahira,4900 Curtis Gardens Suite 952,31632,30.9416,-83.3574
GA,Irwinton,6003 Brady Shoal Apt. 449,31042,32.8088,-83.17399999999999
GA,Juliette,5619 Mendoza Inlet,31046,33.1194,-83.8235
GA,Kings Bay,019 Kimberly Light Apt. 039,31547,30.7906,-81.5607
GA,Milner,431 Tracy Expressway,30257,33.141,-84.1759
GA,Norman Park,393 Carroll Route Suite 197,31771,31.2462,-83.6549
GA,Sea Island,62631 Ashley Ramp Apt. 965,31561,31.1989,-81.3322
GA,Springfield,7955 Allen Orchard Apt. 336,31329,32.3697,-81.3618
GA,Surrency,165 Jerry Meadows Suite 460,31563,31.6489,-82.1982
GA,Valdosta,7337 Browning Falls Suite 027,31605,30.946,-83.2474
GA,Varnell,493 Fitzgerald Fields Suite 454,30756,34.9298,-84.9885
GA,Vienna,73869 Connie Prairie,31092,32.0913,-83.7922
GA,West Green,82073 Jessica Camp,31567,31.6143,-82.7243
GA,Whigham,222 Freeman Islands,39897,30.8836,-84.3246
HI,Honokaa,2711 Duran Pines,96727,20.0827,-155.488
HI,Paauilo,78117 George Mountains,96776,20.0271,-155.3697
IA,Alton,210 Dean Causeway Suite 130,51003,42.9782,-96.0173
IA,Avoca,519 Jerry Views,51521,41.4768,-95.3509
IA,Battle Creek,02110 Lucas Freeway Suite 517,51006,42.3327,-95.6045
IA,Belmond,384 Newman Forks Apt. 370,50421,42.8511,-93.62
IA,Birmingham,23843 Scott Island,52535,40.8626,-91.9534
IA,Clarinda,1831 Faith View Suite 653,51632,40.7491,-95.038
IA,Clutier,13613 Hammond Ferry,52217,42.0789,-92.3763
IA,Curlew,93970 Trujillo Causeway,50527,42.9633,-94.7975
IA,Des Moines,1535 Ryan Burgs Suite 919,50312,41.5855,-93.6719
IA,Des Moines,95793 Andrea Ville Suite 533,50314,41.603,-93.633
IA,Early,1976 Tyler Underpass,50535,42.4483,-95.1726
IA,Elkhart,7566 Thompson Creek Apt. 827,50073,41.8114,-93.4855
IA,Hedrick,043 Hanson Turnpike,52563,41.1826,-92.3097
IA,Lohrville,9379 Vanessa Run Apt. 400,51453,42.2619,-94.5566
IA,Moscow,89297 Wilson Green Suite 601,52760,41.5646,-91.0859
IA,Moulton,21447 Powell Circle,52572,40.6866,-92.6833
IA,Ollie,69252 Oconnor Alley Apt. 153,52576,41.2001,-92.1354
IA,Oran,91542 Marissa Shores Apt. 053,50664,42.7012,-92.0762
IA,Princeton,5045 Emily Wall,52768,41.6858,-90.3706
IA,Rockwell,6807 Jacob Skyway Apt. 331,50469,43.0032,-93.2167
IA,Webster City,838 Dan Haven Suite 003,50595,42.4657,-93.8262
IA,Whittemore,610 Samantha Park Suite 149,50598,43.0261,-94.4064
ID,Malad City,594 White Dale Suite 530,83252,42.1808,-112.262
ID,Meridian,4503 Patricia Route,83646,43.6498,-116.4306
ID,Mesa,7020 Doyle Stream Apt. 951,83643,44.6255,-116.4493
ID,Spirit Lake,557 Lynn Garden Suite 907,83869,47.9657,-116.868
IL,Bonfield,6778 Campos Field,60913,41.1573,-88.0619
IL,Cisco,611 Michael Rue,61830,39.9972,-88.6962
IL,Dieterich,54822 Hill Forks,62424,39.0319,-88.4074
IL,Dongola,32343 Saunders Course,62926,37.3712,-89.1349
IL,Eagarville,91644 Crystal Drives,62023,39.1118,-89.7855
IL,Eureka,1497 West Gateway,61530,40.7152,-89.2706
IL,Galatia,6963 Russell Causeway Suite 231,62935,37.8274,-88.6235
IL,Goreville,083 Karen Island Apt. 656,62939,37.575,-88.9655
IL,Joliet,82468 Michelle Village Suite 556,60432,41.5378,-88.0572
IL,Loami,14017 Thomas Plaza,62661,39.6704,-89.8588
IL,Logan,75533 Tamara Valleys,62856,37.9943,-88.9417
IL,Lomax,908 Brooks Brook,61454,40.6761,-91.0391
IL,Mc Nabb,920 Patrick Light,61335,41.173,-89.2187
IL,Moro,2193 Osborne Run Apt. 789,62067,38.9318,-89.9618
IL,Mulberry Grove,85430 Julie Trafficway Suite 792,62262,38.9311,-89.2463
IL,Murrayville,4720 Anna Ways,62668,39.5723,-90.2379
IL,New Boston,721 Jacqueline Brooks,61272,41.2153,-90.9879
IL,New Memphis,755 Solis Isle Suite 075,62266,38.4857,-89.6816
IL,Nokomis,7644 Joseph Fields,62075,39.3036,-89.2853
IL,Oakford,3854 Lauren Springs Suite 648,62673,40.0994,-89.9601
IL,Olmsted,696 Matthew Ford Suite 157,62970,37.1935,-89.0933
IL,Payson,2632 Stevens Light Apt. 213,62360,39.8153,-91.2627
IL,Pembroke Township,6296 John Keys Suite 858,60958,41.0646,-87.5917
IL,Putnam,28777 Stewart Plains Apt. 495,61560,41.1949,-89.4409
IL,Ringwood,622 Williams Trafficway,60072,42.4048,-88.3054
IL,Rossville,6313 Scott Trace,60963,40.3625,-87.6692
IL,Schaumburg,478 Donovan Corners Apt. 803,60193,42.0144,-88.0935
IL,Smithfield,9242 Vanessa Ramp Apt. 525,61477,40.4855,-90.2856
IL,Streator,7281 Joshua Mills Apt. 077,61364,41.1225,-88.8307
IL,Tamaroa,92021 Miranda Meadows,62888,38.138000000000005,-89.2231
IL,Tower Hill,4936 Michelle Points,62571,39.39,-88.9597
IL,West Frankfort,4407 Lisa Course,62896,37.8979,-88.9307
IL,Wilmette,0423 Kirby Field Suite 623,60091,42.0765,-87.7246
IN,Andrews,3653 Ryan Crossroad,46702,40.8618,-85.6067
IN,Bristow,39218 Baker Shoals,47515,38.1981,-86.6821
IN,Carlisle,4923 Campbell Pines Suite 717,47838,38.9763,-87.3667
IN,Central,144 Martinez Curve,47110,38.097,-86.1723
IN,Churubusco,954 Green Wall,46723,41.229,-85.3244
IN,Claypool,5273 Joseph Isle Suite 518,46510,41.1165,-85.8686
IN,Clinton,56261 Keith Plaza,47842,39.6591,-87.4208
IN,Greenwood,166 Lisa Fords,46143,39.596,-86.1309
IN,Harrodsburg,85344 Smith Gateway Apt. 280,47434,39.013000000000005,-86.5457
IN,Highland,701 Wilson Divide,46322,41.55,-87.4569
IN,Indianapolis,08236 Kim Hill,46254,39.849,-86.272
IN,Indianapolis,209 Austin Stream Apt. 231,46290,39.9347,-86.1633
IN,Kingsford Heights,6114 Adams Harbor Suite 096,46346,41.4802,-86.6919
IN,Leo,707 Anthony Causeway,46765,41.2249,-85.0301
IN,Liberty Mills,343 Joshua Views,46946,41.0356,-85.7358
IN,Moores Hill,26615 Nelson Lane,47032,39.0945,-85.0638
IN,New Goshen,702 Tabitha Drive,47863,39.5803,-87.4616
IN,Noblesville,91745 Davis Crossing,46060,40.0563,-86.0163
IN,North Judson,822 Austin Spur,46366,41.2244,-86.6966
IN,Oolitic,3310 Davidson Spurs Apt. 107,47451,38.8938,-86.5246
IN,Prairie Creek,2056 Michael Wells Apt. 348,47869,39.4336,-87.4101
IN,Veedersburg,86542 Jessica Fords Apt. 706,47987,40.1186,-87.2602
IN,Williams,919 Miller Isle,47470,38.7735,-86.6285
KS,Burrton,00315 Ashley Valleys,67020,38.0261,-97.6666
KS,De Soto,7952 Karen Pike,66018,38.9462,-94.9714
KS,Dexter,31954 Eugene Lane Suite 572,67038,37.1641,-96.6917
KS,Dresden,8829 Steele Station,67635,39.6094,-100.4112
KS,Easton,240 Tracy Forges,66020,39.3391,-95.0999
KS,Esbon,3645 Atkins Island Apt. 238,66941,39.7562,-98.4462
KS,Garfield,4483 Sharp Ferry Apt. 468,67529,38.0649,-99.2374
KS,Grenola,741 Adams Knolls,67346,37.3668,-96.4396
KS,Holcomb,889 Sarah Station Suite 624,67851,37.9931,-100.9893
KS,Hudson,9331 Robert Passage Suite 327,67545,38.1485,-98.6408
KS,Mc Cracken,13108 Jennifer Passage,67556,38.5957,-99.554
KS,Ozawkie,25955 Amy Via,66070,39.2136,-95.4404
KS,Topeka,621 Smith Hollow Apt. 738,66616,39.0645,-95.6413
KS,Topeka,9486 Joel Common Suite 554,66618,39.1329,-95.7023
KS,Utica,29156 Mark Park Apt. 108,67584,38.6411,-100.138
KS,Wichita,0189 Emily Prairie,67232,37.6395,-97.1714
KS,Wichita,03090 Fisher Forges Apt. 200,67216,37.6223,-97.3136
KY,Ashland,3305 Angel Grove Apt. 465,41101,38.4722,-82.6461
KY,Big Creek,61107 Edwards Dam Apt. 463,40914,37.1046,-83.5706
KY,Cadiz,27909 Peter Motorway,42211,36.802,-87.8286
KY,Cranks,9016 Jordan Bypass Apt. 516,40820,36.7558,-83.1838
KY,Cromona,010 Salazar Walk,41810,37.1788,-82.695
KY,Deane,0374 Courtney Islands Apt. 400,41812,37.2409,-82.7696
KY,Dubre,06808 Ryan Valleys,42731,36.8421,-85.5396
KY,Elizabethtown,7838 Jason Squares,42701,37.6848,-85.8784
KY,Hazel,22502 Baker Mount Suite 241,42049,36.5422,-88.3319
KY,Irvine,907 Courtney Via Apt. 896,40336,37.6858,-83.9862
KY,Louisville,005 Cody Estates,40202,38.2507,-85.7476
KY,Louisville,0900 Beverly Landing,40209,38.1901,-85.7519
KY,Mallie,956 Sanchez Highway,41836,37.2692,-82.9161
KY,Maysville,6412 Elizabeth Gardens Suite 633,41056,38.6207,-83.8067
KY,Parkers Lake,7314 Johnson Square Apt. 296,42634,36.8347,-84.4436
KY,Pewee Valley,5537 Jessica Plaza,40056,38.3039,-85.4834
KY,River,3423 Michael Canyon Suite 276,41254,37.8795,-82.7251
KY,Rochester,3786 Hale Corners,42273,37.2048,-86.8592
KY,Saint Francis,609 Hunt Grove,40062,37.6047,-85.4251
KY,Smiths Grove,302 Christina Islands,42171,37.0581,-86.1938
KY,Stephensport,8973 Mark Drive,40170,37.9048,-86.524
KY,Westport,43235 Mckenzie Views Apt. 837,40077,38.4921,-85.4524
LA,Baton Rouge,50872 Alex Plain Suite 088,70808,30.4066,-91.1468
LA,Delhi,4511 Choi Lock,71232,32.3929,-91.4714
LA,Denham Springs,458 Phillips Island Apt. 768,70726,30.459,-90.9027
LA,Egan,8925 Nicholas Points,70531,30.251,-92.5002
LA,Fordoche,67632 Martin Gateway,70732,30.6576,-91.6264
LA,Gretna,868 Brady Mill Apt. 837,70056,29.8872,-90.0331
LA,Kenner,5901 Foster Pine,70062,29.9912,-90.2479
LA,Kenner,6905 Hutchinson Inlet,70065,30.0252,-90.2522
LA,Madisonville,93121 Zavala Extensions,70447,30.4287,-90.1773
LA,Metairie,27823 Andrew Underpass Suite 948,70003,29.9975,-90.2146
LA,Saint Amant,65417 Walsh Radial Suite 691,70774,30.2385,-90.8435
LA,Spearsville,529 West Key,71277,32.955,-92.587
LA,Tickfaw,950 Dunn Squares,70466,30.5668,-90.482
LA,West Monroe,246 Stewart Green Suite 149,71291,32.5317,-92.176
MA,Ashfield,78652 Scott Ports,1330,42.5232,-72.811
MA,Barnstable,5204 Robinson Plaza Suite 897,2630,41.6983,-70.3001
MA,Lawrence,329 Michael Extension,1843,42.6911,-71.1605
MA,Methuen,4005 Dana Glens,1844,42.728,-71.181
MA,North Brookfield,06730 Joshua Isle Suite 555,1535,42.2665,-72.0821
MA,Paxton,755 Gardner Heights Apt. 420,1612,42.3066,-71.9202
MA,Sheffield,58665 Nicholas Ford Suite 348,1257,42.1001,-73.3611
MA,Shrewsbury,37910 Ward Lights,1545,42.2848,-71.7205
MA,Stoneham,7911 Campbell Crossing Apt. 725,2180,42.4828,-71.0978
MD,Annapolis,05561 Farrell Crescent,21405,39.0305,-76.5515
MD,Cecilton,7055 Fernandez Estates Apt. 676,21913,39.4015,-75.8654
MD,Chester,0881 Lori Pines,21619,38.9583,-76.2842
MD,Corriganville,56812 Francis Courts,21524,39.6967,-78.8031
MD,Gaithersburg,493 Todd Views,20882,39.2335,-77.1458
MD,Great Mills,35822 Clayton Street Apt. 679,20634,38.2674,-76.4954
MD,Hancock,622 Bradley Knoll Apt. 758,21750,39.6991,-78.1762
MD,Harwood,507 John Overpass Suite 424,20776,38.8582,-76.6145
MD,Kensington,31472 Cody Place Suite 740,20895,39.0298,-77.0793
MD,Kingsville,83555 Melinda Spurs,21087,39.4558,-76.4147
MD,Linthicum Heights,17355 Mendoza Bypass Suite 059,21090,39.2092,-76.6681
MD,Manchester,47152 Clayton Burg,21102,39.6747,-76.8941
MD,Pikesville,086 Pierce Cove,21208,39.3764,-76.729
MD,Queen Anne,10376 Bullock Rapid,21657,38.9456,-75.9777
MD,Queenstown,7320 Jennifer Forges,21658,39.0026,-76.1424
MD,Scotland,382 Williams Stream Suite 197,20687,38.0828,-76.3477
MD,Tuscarora,8617 Holmes Terrace Suite 651,21790,39.2667,-77.5101
MD,Tyaskin,86882 Desiree Camp Suite 047,21865,38.2833,-75.8465
MD,Whaleyville,27479 Reeves Dale,21872,38.4121,-75.2811
ME,Auburn,87227 Tapia Burgs,4210,44.0948,-70.23899999999999
ME,Bowdoin,854 Walker Dale Suite 488,4287,44.0575,-69.9656
ME,Brooklin,426 Mark Ports,4616,44.2541,-68.5565
ME,East Andover,3270 Scott Islands,4226,44.6084,-70.6993
ME,Freeport,9383 Garrison Inlet Apt. 548,4032,43.857,-70.1031
ME,Kittery Point,82448 Tucker Cliff,3905,43.0976,-70.7121
ME,Newport,18316 Cannon Place,4953,44.8393,-69.2675
ME,Nobleboro,12444 Jacob Pines,4555,44.0943,-69.4828
ME,Parsonsfield,651 Miller Common,4047,43.745,-70.9092
ME,Scarborough,6274 David Oval Suite 725,4074,43.5835,-70.3457
ME,Steuben,6114 Moran Way,4680,44.4971,-67.9503
ME,West Bethel,737 Thomas Wall Apt. 502,4286,44.402,-70.8601
ME,Winthrop,400 Zuniga Pine,4364,44.3229,-69.9576
MI,Afton,3304 Hernandez Run,49705,45.3637,-84.4695
MI,Arcadia,212 Mary Stream,49613,44.5232,-86.2061
MI,Baroda,639 Cruz Islands,49101,41.9488,-86.4913
MI,Bay City,09419 Lewis Rapids,48706,43.6088,-83.95299999999999
MI,Cedar,836 Stephanie Union,49621,44.8605,-85.8138
MI,Detroit,04139 Johnson Prairie Suite 401,48206,42.3749,-83.1087
MI,Detroit,152 James Centers Apt. 768,48221,42.426,-83.15
MI,Detroit,88325 Brandon Greens Apt. 477,48202,42.377,-83.0796
MI,Detroit,97689 Davis Point Apt. 967,48214,42.3669,-82.9938
MI,East China,8611 Tricia Fork,48054,42.7769,-82.5437
MI,Elberta,0069 Robin Brooks Apt. 695,49628,44.5995,-86.2141
MI,Elk Rapids,24318 Dixon Mills,49629,44.8955,-85.4082
MI,Falmouth,5783 Evan Roads Apt. 465,49632,44.2529,-85.01700000000001
MI,Gaines,48635 Paul Hills,48436,42.8813,-83.8855
MI,Goodrich,26544 Andrea Glen,48438,42.9147,-83.4845
MI,Lakeview,145 Jeffrey Key Suite 668,48850,43.4269,-85.2924
MI,Livonia,1125 Ray Track,48154,42.3958,-83.3772
MI,Luzerne,6251 Payne Flats Apt. 581,48636,44.6001,-84.2931
MI,Manistique,516 Brown Parks,49854,46.0062,-86.2555
MI,Mount Clemens,3325 Gregory Square,48043,42.5978,-82.8823
MI,Munith,952 Joseph Throughway,49259,42.3703,-84.2485
MI,Muskegon,821 Solis Points,49440,43.2326,-86.2492
MI,Oxford,27386 Snyder Station,48371,42.8223,-83.2829
MI,Pointe Aux Pins,7369 Gabriel Tunnel,49775,45.7549,-84.447
MI,Republic,445 Jerry Lights Apt. 081,49879,46.368,-87.9938
MI,Riverview,54220 April Union Suite 403,48193,42.1782,-83.2461
MI,Romulus,61390 Hayes Port,48174,42.2203,-83.3583
MI,Rumely,04611 Sandra Spring Suite 059,49826,46.3481,-87.0436
MI,Southfield,81261 Garcia Underpass Suite 741,48034,42.4969,-83.2911
MI,Warren,615 Clarke Spring Apt. 172,48088,42.5164,-82.9832
